album,duration_min
Speak Now World Tour Live,4.952019791666666
Speak Now,4.788057142857143
Speak Now (Taylor's Version),4.760644696969697
Speak Now (Deluxe Edition),4.592005833333333
Red (Taylor's Version),4.3554611111111114
Fearless Platinum Edition,4.1812464912280705
Fearless,4.119069230769231
Red (Deluxe Edition),4.10080303030303
Fearless (Taylor's Version),4.09775
evermore (deluxe version),4.063603921568627
Red,4.057702083333333
evermore,4.050233333333333
reputation Stadium Tour Surprise Song Playlist,4.049271014492754
folklore,3.9756114583333333
folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],3.961897549019608
folklore (deluxe version),3.949407843137255
1989,3.753671794871795
reputation,3.717
1989 (Taylor's Version),3.7129579365079364
1989 (Taylor's Version) [Deluxe],3.695530303030303
1989 (Deluxe Edition),3.6189894736842105
Taylor Swift,3.5661855555555557
Midnights (The Til Dawn Edition),3.5037427536231887
Live From Clear Channel Stripped 2008,3.49115625
Midnights (3am Edition),3.4743866666666667
Lover,3.436463888888889
Midnights,3.3953051282051283
